Gene,Category,Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B,count,sca.t,sca.P.Value,sca.adj.pval,significance,log.sca.pval
prfA,Other,242384E_coliDH5_03751,0.4419428965,27.95968549,2.099454502,0.05423294238,0.1065718893,-5.547969255,5,2.200997772,0.04348261466,0.08799508071,Not Significant,1.361684349
wzzB,Other,242384E_coliDH5_04123,-0.4488739971,28.85118362,-2.064738452,0.05782848994,0.1122982545,-5.606992591,9,-2.189780251,0.04442768912,0.08981484647,Not Significant,1.352346276
galR,Other,242384E_coliDH5_01737,1.30338213,23.25973099,2.154554654,0.04894825389,0.09760036451,-5.453244097,1,2.189404053,0.0444597116,0.08981484647,Not Significant,1.352033359
rne,Other,242384E_coliDH5_03255,0.221412726,30.79145122,1.879838689,0.08093236862,0.1479484742,-5.912062664,20,2.187868279,0.04459066061,0.09000057221,Not Significant,1.350756094
iclR,Other,242384E_coliDH5_04222,-0.7651675349,24.85320772,-2.260526825,0.0401059665,0.08313069607,-5.267665135,1,-2.186148039,0.04473776286,0.09021854801,Not Significant,1.349325737
mreB,Other,242384E_coliDH5_03890,-0.3098671345,31.2008497,-1.977451319,0.06785818455,0.1274182025,-5.753026587,19,-2.183332244,0.04497952004,0.0905643962,Not Significant,1.346985183
rfbA,Other,242384E_coliDH5_03678,0.1800264318,29.16648415,1.843699712,0.08632178583,0.1565600314,-5.969727588,12,2.183236339,0.04498777549,0.0905643962,Not Significant,1.346905481
ygaM,Other,242384E_coliDH5_03416,-0.745259546,29.09165845,-2.094134242,0.05477022991,0.1073898376,-5.557048254,4,-2.181479634,0.04513924039,0.09079008507,Not Significant,1.345445754
glyS,Other,242384E_coliDH5_03165,-0.1398499001,31.35678261,-1.605035666,0.1306216588,0.2175608296,-6.332419565,31,-2.180192141,0.04525054928,0.09093468395,Not Significant,1.344376145
rimL,Other,242384E_coliDH5_03828,-0.7958384847,24.40373349,-2.232331287,0.04229998972,0.08682035256,-5.317459905,1,-2.173621611,0.04582256787,0.09200405924,Not Significant,1.338920577
unknown,Other,242384E_coliDH5_00640,0.4058057065,28.02766529,2.147154355,0.04962911926,0.09861703543,-5.466039017,2,2.171845516,0.04597833714,0.09223654242,Not Significant,1.33744674
yiaW_1,Other,242384E_coliDH5_02896,-1.484278557,22.1087052,-2.121152016,0.05209181325,0.1027143702,-5.510818588,1,-2.168492699,0.04627372677,0.09274846887,Not Significant,1.334665522
unknown,Other,242384E_coliDH5_04220,-0.5292590615,23.65137117,-2.441819494,0.02836573359,0.06353373534,-4.940891201,1,-2.15802143,0.04720760847,0.09453815342,Not Significant,1.325988
mazF,Other,242384E_coliDH5_01793,-0.5509430094,24.23501523,-2.405302559,0.03043050313,0.06724441641,-5.007577767,1,-2.157507431,0.04725389521,0.09454877386,Not Significant,1.325562386
pbpG,Other,242384E_coliDH5_03065,0.8940637098,24.33483717,2.180978668,0.04658736645,0.09403066877,-5.407378059,1,2.156830989,0.04731487424,0.09458874773,Not Significant,1.32500231
atpA,Other,242384E_coliDH5_03994,0.2712877366,32.30509249,1.909126173,0.07678881884,0.1415435258,-5.864840007,26,2.154248494,0.04754834718,0.09497319215,Not Significant,1.322864575
trmO,Other,242384E_coliDH5_01319,0.8383590536,23.28038323,2.191873724,0.04564518319,0.09261516062,-5.388386145,1,2.152009091,0.04775166386,0.09528662045,Not Significant,1.321011491
ybaL,Other,242384E_coliDH5_02758,0.4629476518,27.13270222,2.078984722,0.056327206,0.1095673392,-5.582834435,3,2.15161121,0.04778787163,0.09528662045,Not Significant,1.320682312
ftsL,Other,242384E_coliDH5_01207,1.02127247,22.76582015,2.147482991,0.04959869734,0.09861703543,-5.465471287,1,2.150914381,0.04785134516,0.09533078867,Not Significant,1.320105849
